ZCTA5 11207,45940,1593
ZCTA5 11208,45934,1848
ZCTA5 11209,84945,2636
ZCTA5 11210,75085,2831
ZCTA5 11211,77466,3164
ZCTA5 11212,40233,1728
ZCTA5 11213,47297,1779
ZCTA5 11214,62934,2368
ZCTA5 11215,139886,6452
ZCTA5 11216,63003,2866
ZCTA5 11217,120590,6416
ZCTA5 11218,72945,2958
ZCTA5 11219,51454,2005
ZCTA5 11220,53315,1999
ZCTA5 11221,53275,1992
ZCTA5 11222,80886,3954
ZCTA5 11223,61705,2789
ZCTA5 11224,47290,3429
ZCTA5 11225,59118,2445
ZCTA5 11226,55874,2229
ZCTA5 11228,86920,4346
ZCTA5 11229,70010,2329
ZCTA5 11230,66750,1918
ZCTA5 11231,118321,8228
ZCTA5 11232,59324,3287
ZCTA5 11233,49486,2060
ZCTA5 11234,85437,2282
ZCTA5 11235,67317,2821
ZCTA5 11236,73164,1683
ZCTA5 11237,57515,2794
ZCTA5 11238,89269,3751
ZCTA5 11239,38019,5052
ZCTA5 11351,-,**
ZCTA5 11354,63883,2957
ZCTA5 11355,56359,2445
ZCTA5 11356,73994,4313
ZCTA5 11357,91409,4083
ZCTA5 11358,82641,3164
ZCTA5 11359,-,**
ZCTA5 11360,99142,6116
ZCTA5 11361,92549,4770
ZCTA5 11362,94462,6787
ZCTA5 11363,124271,19084
ZCTA5 11364,86922,3755
ZCTA5 11365,74919,4453
ZCTA5 11366,93798,6190
ZCTA5 11367,72653,3677
ZCTA5 11368,56401,1709
ZCTA5 11369,67335,3296
ZCTA5 11370,69161,4457
ZCTA5 11371,-,**
ZCTA5 11372,62444,3511
ZCTA5 11373,65470,2571
ZCTA5 11374,68255,3128
ZCTA5 11375,94340,3190
ZCTA5 11377,63387,2376
ZCTA5 11378,69886,3478
ZCTA5 11379,84041,3285
ZCTA5 11385,66944,1803
ZCTA5 11411,93666,4252
ZCTA5 11412,80823,3174
ZCTA5 11413,91263,3463
ZCTA5 11414,90543,7130
ZCTA5 11415,80185,5002
ZCTA5 11416,73653,3807
ZCTA5 11417,77103,4790
ZCTA5 11418,72887,2728
ZCTA5 11419,68973,2972
ZCTA5 11420,76420,4889
ZCTA5 11421,78375,3214
ZCTA5 11422,92001,4246
ZCTA5 11423,78204,3997
ZCTA5 11424,-,**
ZCTA5 11425,-,**
ZCTA5 11426,96119,7273
ZCTA5 11427,85937,5831
ZCTA5 11428,77377,4499
ZCTA5 11429,83725,5418
ZCTA5 11430,-,**
ZCTA5 11432,67770,2907
ZCTA5 11433,58601,3273
ZCTA5 11434,70272,2436
ZCTA5 11435,65791,2423
ZCTA5 11436,74994,4196
ZCTA5 11451,-,**
ZCTA5 11501,99680,6748
ZCTA5 11507,133711,10480
ZCTA5 11509,201167,28332
ZCTA5 11510,108651,5657
ZCTA5 11514,114350,13858
ZCTA5 11516,124582,16308
ZCTA5 11518,118293,10026
ZCTA5 11520,85418,3953
ZCTA5 11530,193299,13623
ZCTA5 11542,99030,5651
ZCTA5 11545,223377,15915
ZCTA5 11547,104955,29864
ZCTA5 11548,131822,27421
ZCTA5 11549,-,**
ZCTA5 11550,70450,2820
ZCTA5 11552,117036,6370
ZCTA5 11553,86485,4781
ZCTA5 11554,110122,5510
ZCTA5 11556,-,**
ZCTA5 11557,171026,16338
ZCTA5 11558,90064,8109
ZCTA5 11559,197038,35990
ZCTA5 11560,184171,20078
ZCTA5 11561,111175,5935
ZCTA5 11563,106448,5705
ZCTA5 11565,129325,10419
ZCTA5 11566,150430,5762
ZCTA5 11568,319164,52417
ZCTA5 11569,150132,36428
ZCTA5 11570,142510,6824
ZCTA5 11572,116228,4901
ZCTA5 11575,75229,5490
ZCTA5 11576,220316,17951
ZCTA5 11577,166223,10570
ZCTA5 11579,131725,14365
ZCTA5 11580,105073,4133
ZCTA5 11581,115925,7330
ZCTA5 11590,110386,4058
ZCTA5 11596,139520,8907
ZCTA5 11598,177690,19650
ZCTA5 11691,56999,2871
ZCTA5 11692,58042,4794
ZCTA5 11693,62443,5440
ZCTA5 11694,95102,5581
ZCTA5 11697,100398,9445
ZCTA5 11701,84100,4522
ZCTA5 11702,118000,8175
ZCTA5 11703,97978,5291
ZCTA5 11704,94076,4042
ZCTA5 11705,121614,8849
ZCTA5 11706,90784,3611
ZCTA5 11709,120158,10379
ZCTA5 11710,125175,5600
ZCTA5 11713,92337,7712
ZCTA5 11714,105570,8929
ZCTA5 11715,111481,12495
ZCTA5 11716,96824,7554
ZCTA5 11717,80010,3282
ZCTA5 11718,159834,15329
ZCTA5 11719,120217,19686
ZCTA5 11720,105113,4457
ZCTA5 11721,145745,13099
ZCTA5 11722,76865,4054
ZCTA5 11724,244074,48409
ZCTA5 11725,131497,5868
ZCTA5 11726,84300,4968
ZCTA5 11727,91342,3976
ZCTA5 11729,97673,4520
ZCTA5 11730,126647,8616
ZCTA5 11731,124012,4992
ZCTA5 11732,154030,18603
ZCTA5 11733,169355,11384
ZCTA5 11735,104889,4035
ZCTA5 11738,109821,5600
ZCTA5 11739,138413,24098
ZCTA5 11740,124339,10375
ZCTA5 11741,111669,5754
ZCTA5 11742,105850,6254
ZCTA5 11743,166567,7184
ZCTA5 11746,130832,5141
ZCTA5 11747,162162,15668
ZCTA5 11749,107064,9871
ZCTA5 11751,118177,9850
ZCTA5 11752,109277,6181
ZCTA5 11753,207423,24001
ZCTA5 11754,119974,5650
ZCTA5 11755,114057,7310
ZCTA5 11756,111544,3577
ZCTA5 11757,93155,3534
ZCTA5 11758,124630,4353
ZCTA5 11762,127055,5058
ZCTA5 11763,93497,5356
ZCTA5 11764,129911,12292
ZCTA5 11765,347057,87974
ZCTA5 11766,130853,12076
ZCTA5 11767,126393,9200
ZCTA5 11768,151399,9874
ZCTA5 11769,104776,9518
ZCTA5 11770,103779,24168
ZCTA5 11771,201447,19390
ZCTA5 11772,80637,3886
ZCTA5 11776,103422,6169
ZCTA5 11777,140198,7808
ZCTA5 11778,102252,8185
ZCTA5 11779,95879,3325
ZCTA5 11780,142945,9265
ZCTA5 11782,125671,6502
ZCTA5 11783,118764,5295
ZCTA5 11784,92906,3582
ZCTA5 11786,141595,9262
ZCTA5 11787,130222,5711
ZCTA5 11788,116717,7009
ZCTA5 11789,98474,11002
ZCTA5 11790,160213,11968
ZCTA5 11791,202190,11745
ZCTA5 11792,130467,11342
ZCTA5 11793,136669,8828
ZCTA5 11794,-,**
ZCTA5 11795,124466,5733
ZCTA5 11796,113825,9209
ZCTA5 11797,225776,22863
ZCTA5 11798,84874,5333
ZCTA5 11801,110464,5185
ZCTA5 11803,145375,7246
ZCTA5 11804,141004,18117
ZCTA5 11901,71443,5490
ZCTA5 11930,131475,31987
ZCTA5 11931,N,N
ZCTA5 11932,134393,45711
ZCTA5 11933,82955,8985
ZCTA5 11934,94919,10607
ZCTA5 11935,105911,17580
ZCTA5 11937,126382,12210
ZCTA5 11939,93696,15580
ZCTA5 11940,107584,11886
ZCTA5 11941,108396,19780
ZCTA5 11942,113066,15882
ZCTA5 11944,89930,11414
ZCTA5 11946,87768,7187
ZCTA5 11947,70804,76747
ZCTA5 11948,150261,44034
ZCTA5 11949,116541,8049
ZCTA5 11950,77115,4916
ZCTA5 11951,73124,6182
ZCTA5 11952,96106,17283
ZCTA5 11953,76663,4051
ZCTA5 11954,92260,16154
ZCTA5 11955,77225,10210
ZCTA5 11956,92058,19735
ZCTA5 11957,104500,16967
ZCTA5 11958,165695,108060
ZCTA5 11959,127867,37265
ZCTA5 11960,107388,18479
ZCTA5 11961,78195,7840
ZCTA5 11962,242884,102162
ZCTA5 11963,143338,20939
ZCTA5 11964,144795,28425
ZCTA5 11965,126097,33974
ZCTA5 11967,86994,5017
ZCTA5 11968,139796,19218
